x,y
item good packag bad lot liquid leak open packag,0
biggest differ brand soap like cheaper store brand strength scent store brand scent fade fast hand bare smell clean wipe dri could great sensit fragranc stuff brand soap stronger nicer scent immedi fade away prefer go sale tri load soap good,1
got fresh breez scent awesom,1
softsoap hand soap best worst like said softsoap hand soap,1
smell awesom,1
need soap super function,1
love product packag lack open box soap dishevel box leak soap box also anoth product shipment cover,0
fresh scent softsoap smell good first thought go strong work well kind softsoap use,1
qualiti,1
six pack great deal hand soap softsoap disappoint,1
soap best,1
excel smell great product subscrib save make conveni,1
im crazi bout smell,0
good price bought add item time ad one mani order realli like smell smell fresh,1
bought add item good price,1
perfect,1
great smell,1
soap explos deliveri box one soap contain seal,0
great product arriv open,1
thank wat good desl,1
garlic fish gross odor hand soap domin smell ever even trigger migrain donat school least know kid realli wash hand,0
great smell great price,1
job conveni add groceri shop list anymor,1
one pump work switch w anoth bottl,0
product exactli look smell good make hand feel soft cute enough leav bathroom sink without put soap dispens,1
cost less typic pay store good product,1
got pack six fresh breez scent smell nice neutral gender smell fresh soap lather well much need antibacteri get hand clean without dri price six good seen dollar store buck piec even cheaper gener use big refil fill bathroom soap dispens need hand soap kitchen camper perfect area complaint,1
great buy offic run anytim soon,1
love scent cuz good clean,1
good soap good price els could want,1
good valu,1
bomb deal,1
get job done smell good,1
clean fresh smell everyon love stuff cheap,1
soap great valu,1
good,1
realli good like scent,1
continu purchas pack smell great bottl came good condit great price consid deliv door,1
thank,1
fine,1
write mani review find item love absolut love product may seem silli excit simpl hand soap realli pleas got saw qualiti buy store scent refresh wash hand way normal smell hand rins easili leav hand smell great soft price beat paid much one bottl anoth brand softsoap even use one bottl yet alreadi plan buy case get sold con add item ever problem find someth els buy add item would nice could buy without happi purchas recommend everyon,1
smell good,1
set perfect move new hous plenti soap everi bathroom new old hous coupl extra make trip store realli busi hous project great product great smell,1
great,1
smell great get job done,1
smell good ship fast,1
say soap,1
job hand soap love buy bulk alway,1
cheap come mani bottl,1
smell great expect hand soap,1
bought hand soap shop manag end keep one love scent strong clean scent linger skin look someth subtl might soap person ador purchas,1
worth buy,1
smell good,1
great amount soap amazingli low price stock quit time,1
soap,1
advertis quick,1
soap work expect,1
need,1
smell amaz clean messi gel type soap like,1
packag price fine realli like scent smell like sharp lye soap,0
good deal great smell,1
like brand scent smell like cheep ga station bathroom soap,0
favorit hand soap scent like even fancier brand tri work great dri hand,1
cheap like smell,0
product exactli describ,1
exactli describ way cheaper purchas individu store,1
great valu price pleasant scent,1
pack hand soap expens brand cost bottl clean well buy,0
nice soap good fragranc love,1
valu quantiti qualiti job run quickli leav hand feel moistur anyth get pay one came broken,0
good product save trip store,1
great,1
great product great valu,1
perfect,1
smell nice,1
move hous mani bathroom purchas pack quickli get soap bathroom unfortun make hand smell like fingernail polish remov took awhil figur smell come thought daughter nail bedroom realiz smell everi time wash hand wash smell actual stay hand purchas,0
beat,1
ok,1
soap great soft hand smell nice,1
good valu,1
good get,1
good soap,1
good deal,1
hand soap smell good,1
left replac great product price,1
good,0
smell pleasant sud nice one pump complaint,1
smell good,1
like scent return credit,0
like scent,1
good product valu far issu littl leak bad rins,1
smell aw smell faintli nail polish remov even wors scent linger hour whole box go trash order arriv quickli recommend seller product,0
great buy,1
love scent reorder sinc first order,1
nice scent great price less includ deliveri beat,1
good product good price,1
smell great,1
good fresh scent,1
good soap light scent leather well rins clean,1
horribl purchas soap bit slimi smell overwhelm pleasant price great need replac sever hand soap bottl seem like good deal oh boy smell though could live hand stink like sickli sweet hand lotion smell even think smell make bit gaggi use soap day rd day went wash hand liter said nope enough collect six threw trash prevent someon els use accident get stink hand went big box mart alo hand soap white creami liquid slimi sticki strong odor cent bottl cheaper stuff,0
product arriv time exactli list describ great deal,1
good product good price,1
box said soap contain,0
recent discov scent happi find pack great price happi purchas,1
good soap els need know,1
love odor,1
love soap,1
excel price qualiti,1
love plenti everi bathroom kitchen,1
great price stock,1
